==================================
           facebook.com
==================================
Source -> Destination
a1248.g.akamai.net -> Loris.local
a1248.g.akamai.net -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
www.amazon.com -> Loris.local
Loris.local -> a1248.g.akamai.net
